requirement_id,gate,status,evidence
QR-01,G1,COMPLETE,tests/evaluation/test_quality_review.py
QR-02,G1,COMPLETE,app/evaluation/quality_review.py
QR-03,G1,COMPLETE,tests/evaluation/test_quality_review.py
QR-04,G1,COMPLETE,app/evaluation/quality_review.py
QR-05,G3,COMPLETE,tests/evaluation/test_quality_review.py
QR-06,G2,COMPLETE,app/evaluation/quality_review.py
QR-07,G2,COMPLETE,scripts/submit_quality_review.py
QR-08,G2,COMPLETE,tests/evaluation/test_quality_review_submission_cli.py
QR-09,G3,COMPLETE,tests/evaluation/test_quality_review.py
QR-10,G3,COMPLETE,app/evaluation/quality_review.py
QR-11,G3,COMPLETE,app/evaluation/quality_review.py
QR-12,G4,COMPLETE,tests/evaluation/test_quality_judge.py
QR-13,G4,COMPLETE,docs/quality/00_STAGE_CONTRACT.md
QR-14,G1,COMPLETE,data/v2/quality_review/r2-s8-calibration-v4/manifest.json
QR-15,G3,COMPLETE,tests/evaluation/test_quality_review.py
QR-16,G3,COMPLETE,tests/evaluation/test_quality_review.py
QR-17,G1,COMPLETE,tests/evaluation/test_quality_review_cli.py
QR-18,G3,COMPLETE,tests/evaluation/test_quality_review.py
QR-19,G1,COMPLETE,tests/evaluation/test_quality_review.py
QR-20,G2,COMPLETE,tests/evaluation/test_quality_review.py
QR-21,G3,COMPLETE,tests/evaluation/test_quality_review.py
QR-22,G3,COMPLETE,app/evaluation/quality_review.py
QR-23,G1,COMPLETE,tests/evaluation/test_quality_review_cli.py
QR-24,G4,COMPLETE,tests/evaluation/test_quality_judge.py
QR-25,G0,COMPLETE,docs/quality/02_DECISIONS.md
QR-26,G5,READY_TOOLING,tests/evaluation/test_quality_campaign.py
QR-27,G6,COMPLETE,tests/test_public_repository.py
