experiment_id,status,claim_tier,git_sha,dataset,dataset_revision,split,case_count,model,model_digest,embedding,embedding_digest,reranker,seed,hardware,command,latency_mean_ms,latency_p50_ms,latency_p95_ms,metric,value,numerator,denominator,failure,artifact_sha256,notes
RM-0001,OBSERVED,E2,28417da2a6988c7c61820b68e8b59dbed267dd9c,FinanceBench,cc39aeb4afdf33909ee1412188bf89035950c2eb,fixed_test,101,none,none,bge-m3,7907646426070047a77226ac3e684fbbe8410524f7b4a74d02837e43f2146bab,none,deterministic,"Ryzen 5 7500F; RTX 5060; Windows 11","see BASELINE.md",1043.3773,918.5204,1417.0967,page_hit_at_5,0.3069307,31,101,"historically disclosed fixed test",99617386a2d8728356db2821c8a7a05bc4f10a1c289cfd56b6809c761c321593,"company-disjoint; not fresh blind holdout"
RM-0001,OBSERVED,E2,d8cda100d3a92935f987a5e58ab053e546e7cd11,FinanceBench,cc39aeb4afdf33909ee1412188bf89035950c2eb,fixed_test,101,none,none,bge-m3,7907646426070047a77226ac3e684fbbe8410524f7b4a74d02837e43f2146bab,none,deterministic,"Ryzen 5 7500F; RTX 5060; Windows 11","post-hoc deterministic metric calculation",1043.3773,918.5204,1417.0967,page_mrr_at_5,0.1980198,,,"metric added after ranking run",99617386a2d8728356db2821c8a7a05bc4f10a1c289cfd56b6809c761c321593,"ranking artifact unchanged"
RM-0001,OBSERVED,E2,d8cda100d3a92935f987a5e58ab053e546e7cd11,FinanceBench,cc39aeb4afdf33909ee1412188bf89035950c2eb,fixed_test,101,none,none,bge-m3,7907646426070047a77226ac3e684fbbe8410524f7b4a74d02837e43f2146bab,none,deterministic,"Ryzen 5 7500F; RTX 5060; Windows 11","post-hoc deterministic metric calculation",1043.3773,918.5204,1417.0967,page_ndcg_at_5,0.2134932,,,"metric added after ranking run",99617386a2d8728356db2821c8a7a05bc4f10a1c289cfd56b6809c761c321593,"ranking artifact unchanged"
RM-0001,OBSERVED,E2,28417da2a6988c7c61820b68e8b59dbed267dd9c,FinanceBench,cc39aeb4afdf33909ee1412188bf89035950c2eb,fixed_test,101,none,none,bge-m3,7907646426070047a77226ac3e684fbbe8410524f7b4a74d02837e43f2146bab,none,deterministic,"Ryzen 5 7500F; RTX 5060; Windows 11","see BASELINE.md",1043.3773,918.5204,1417.0967,macro_page_recall_at_5,0.2772277,,,"historically disclosed fixed test",99617386a2d8728356db2821c8a7a05bc4f10a1c289cfd56b6809c761c321593,
RM-0002,OBSERVED,E1,35139977635cfb31bc1829b1e11422151a9905d6,FinQA,0f16e2867befa6840783e58be38c9efb9229d742,fixed_test_sample,100,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,bge-m3,7907646426070047a77226ac3e684fbbe8410524f7b4a74d02837e43f2146bab,none,finqa-test-holdout-v1,"local Ollama environment","frozen protocol",1053.7251,,1570.2909,strict_execution_accuracy,0.44,44,100,"fixed 100/1147 sample; not full test",525c93a2f9437a5880fbed68e536fb351414ca0c50c8736951aa0474b744bb56,"hybrid K=10"
RM-0002,OBSERVED,E1,35139977635cfb31bc1829b1e11422151a9905d6,FinQA,0f16e2867befa6840783e58be38c9efb9229d742,fixed_test_sample,100,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,bge-m3,7907646426070047a77226ac3e684fbbe8410524f7b4a74d02837e43f2146bab,none,finqa-test-holdout-v1,"local Ollama environment","frozen protocol",1053.7251,,1570.2909,citation_precision,0.7938333,,,"fixed 100/1147 sample; not human semantic review",525c93a2f9437a5880fbed68e536fb351414ca0c50c8736951aa0474b744bb56,
RM-0002,OBSERVED,E1,35139977635cfb31bc1829b1e11422151a9905d6,FinQA,0f16e2867befa6840783e58be38c9efb9229d742,fixed_test_sample,100,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,bge-m3,7907646426070047a77226ac3e684fbbe8410524f7b4a74d02837e43f2146bab,none,finqa-test-holdout-v1,"local Ollama environment","frozen protocol",1053.7251,,1570.2909,citation_recall,0.7833333,,,"fixed 100/1147 sample; not human semantic review",525c93a2f9437a5880fbed68e536fb351414ca0c50c8736951aa0474b744bb56,
RM-0003,OBSERVED,S1,28417da2a6988c7c61820b68e8b59dbed267dd9c,synthetic_enterprise_corpus,5d96338e4d637c207c381323fc6919f575983992e553a06f548a7e7e0fc24e57,fixed_test,56,none,none,configured,not_recorded,none,20260716,"local Windows environment","python data/v2/public/corpus_expansion_v2/verify.py",156.8191,,,retrieval_case_pass_rate,1.0,56,56,"synthetic authored corpus",db817c18d8a8d12b60698b38acaffcb215b392989db3958066b7def590b439aa,"not external generalization"
RM-0004,OBSERVED,S1,28417da2a6988c7c61820b68e8b59dbed267dd9c,custom_indirect_injection_pairs,r2-s1-d7-test-20260718-01,paired,24,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,bge-m3,7907646426070047a77226ac3e684fbbe8410524f7b4a74d02837e43f2146bab,none,fixed,"local Windows environment","python data/v2/public/r2_s1_d7/verify.py",,,,guard_off_attack_success_rate,0.125,3,24,"custom synthetic attacks",da30f6fcb3ac24947000437aee67542351f47ca207deb647ee8414fa2cf42c35,
RM-0004,OBSERVED,S1,28417da2a6988c7c61820b68e8b59dbed267dd9c,custom_indirect_injection_pairs,r2-s1-d7-test-20260718-01,paired,24,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,bge-m3,7907646426070047a77226ac3e684fbbe8410524f7b4a74d02837e43f2146bab,none,fixed,"local Windows environment","python data/v2/public/r2_s1_d7/verify.py",,,,guard_on_attack_success_rate,0.0,0,24,"custom synthetic attacks",da30f6fcb3ac24947000437aee67542351f47ca207deb647ee8414fa2cf42c35,
