run_id,profile,kind,subset,n,complete,mean_ms,p50_ms,p95_ms,known_security_failures,model_calls,model_retries,model_errors
service_C_readiness_v1,hybrid_default,main,all,40,32,840.4987524994795,905.7418500015046,1372.4656799953664,0,73,0,0
service_C_readiness_v1,hybrid_default,main,contract_complete,32,32,807.5336874999266,905.7418500015046,1188.8217399973653,0,57,0,0
service_C_readiness_v1,hybrid_default,main,contract_failed,8,0,972.3590124976909,915.9186499964562,1265.3351649983958,0,16,0,0
service_C_readiness_v1,hybrid_default,warmup,all,5,5,1524.5722599996952,806.2505999987479,3681.419940004707,0,10,0,0
service_C_readiness_v1,hybrid_default,warmup,contract_complete,5,5,1524.5722599996952,806.2505999987479,3681.419940004707,0,10,0,0
service_C_readiness_v1,hybrid_default,warmup,contract_failed,0,0,,,,0,0,0,0
service_C_readiness_v1,safe_dense_raw20_bge,main,all,40,31,847.1331625001767,934.5009499957087,1227.203640003426,0,72,0,0
service_C_readiness_v1,safe_dense_raw20_bge,main,contract_complete,31,31,823.4581806450038,935.3759999939939,1320.533099999011,0,54,0,0
service_C_readiness_v1,safe_dense_raw20_bge,main,contract_failed,9,0,928.6803222235499,924.7331000078702,1026.2393000011798,0,18,0,0
service_C_readiness_v1,safe_dense_raw20_bge,warmup,all,5,5,2791.633720000391,875.614200005657,8566.445279997422,0,10,0,0
service_C_readiness_v1,safe_dense_raw20_bge,warmup,contract_complete,5,5,2791.633720000391,875.614200005657,8566.445279997422,0,10,0,0
service_C_readiness_v1,safe_dense_raw20_bge,warmup,contract_failed,0,0,,,,0,0,0,0
service_C_repair_v1,hybrid_default,main,all,120,87,946.2078516660162,927.8955000045244,1394.5239450011284,0,203,0,0
service_C_repair_v1,hybrid_default,main,contract_complete,87,87,1032.5693862061767,930.6944999989355,1428.3895300060979,0,155,0,0
service_C_repair_v1,hybrid_default,main,contract_failed,33,0,718.5274424237749,914.2260000080569,1172.833619994344,0,48,0,0
service_C_repair_v1,hybrid_default,resource1,all,4,4,842.7922749906429,844.724699993094,880.1834749887348,0,8,0,0
service_C_repair_v1,hybrid_default,resource1,contract_complete,4,4,842.7922749906429,844.724699993094,880.1834749887348,0,8,0,0
service_C_repair_v1,hybrid_default,resource1,contract_failed,0,0,,,,0,0,0,0
service_C_repair_v1,hybrid_default,resource2,all,4,4,1450.8581000009144,1639.4415000031586,1709.1884400026174,0,8,0,0
service_C_repair_v1,hybrid_default,resource2,contract_complete,4,4,1450.8581000009144,1639.4415000031586,1709.1884400026174,0,8,0,0
service_C_repair_v1,hybrid_default,resource2,contract_failed,0,0,,,,0,0,0,0
service_C_repair_v1,hybrid_default,resource4,all,4,4,2047.9609250032809,2067.9684999995516,3078.743665006914,0,8,0,0
service_C_repair_v1,hybrid_default,resource4,contract_complete,4,4,2047.9609250032809,2067.9684999995516,3078.743665006914,0,8,0,0
service_C_repair_v1,hybrid_default,resource4,contract_failed,0,0,,,,0,0,0,0
service_C_repair_v1,hybrid_default,warmup,all,5,5,1549.424599998747,834.6282999991672,3703.6745799967316,0,10,0,0
service_C_repair_v1,hybrid_default,warmup,contract_complete,5,5,1549.424599998747,834.6282999991672,3703.6745799967316,0,10,0,0
service_C_repair_v1,hybrid_default,warmup,contract_failed,0,0,,,,0,0,0,0
service_C_repair_v1,safe_dense_raw20_bge,main,all,120,96,1021.1127591661352,945.2931999985594,1624.629535004351,0,216,0,0
service_C_repair_v1,safe_dense_raw20_bge,main,contract_complete,96,96,1031.823928124292,945.9947000068496,1629.3604750062514,0,168,0,0
service_C_repair_v1,safe_dense_raw20_bge,main,contract_failed,24,0,978.2680833335083,934.729000000516,1152.328019998822,0,48,0,0
service_C_repair_v1,safe_dense_raw20_bge,resource1,all,4,4,880.2371500023582,877.5823500036495,912.2261800017441,0,8,0,0
service_C_repair_v1,safe_dense_raw20_bge,resource1,contract_complete,4,4,880.2371500023582,877.5823500036495,912.2261800017441,0,8,0,0
service_C_repair_v1,safe_dense_raw20_bge,resource1,contract_failed,0,0,,,,0,0,0,0
service_C_repair_v1,safe_dense_raw20_bge,resource2,all,4,4,1425.9891000001517,1572.21225000103,1675.4520450056589,0,8,0,0
service_C_repair_v1,safe_dense_raw20_bge,resource2,contract_complete,4,4,1425.9891000001517,1572.21225000103,1675.4520450056589,0,8,0,0
service_C_repair_v1,safe_dense_raw20_bge,resource2,contract_failed,0,0,,,,0,0,0,0
service_C_repair_v1,safe_dense_raw20_bge,resource4,all,4,4,2107.5881500037212,2113.775000005262,3167.231350002112,0,8,0,0
service_C_repair_v1,safe_dense_raw20_bge,resource4,contract_complete,4,4,2107.5881500037212,2113.775000005262,3167.231350002112,0,8,0,0
service_C_repair_v1,safe_dense_raw20_bge,resource4,contract_failed,0,0,,,,0,0,0,0
service_C_repair_v1,safe_dense_raw20_bge,warmup,all,5,5,2868.7540599989006,857.140399995842,8930.971280002266,0,10,0,0
service_C_repair_v1,safe_dense_raw20_bge,warmup,contract_complete,5,5,2868.7540599989006,857.140399995842,8930.971280002266,0,10,0,0
service_C_repair_v1,safe_dense_raw20_bge,warmup,contract_failed,0,0,,,,0,0,0,0
service_C_v1,hybrid_default,main,all,120,85,914.3301041653709,920.2001500016195,1148.1265749876911,0,210,0,0
service_C_v1,hybrid_default,main,contract_complete,85,85,991.7632035277647,941.3006999966456,1089.1124199901242,0,149,0,0
service_C_v1,hybrid_default,main,contract_failed,35,0,726.278291428129,888.3873999875505,1151.778449989797,0,61,0,0
service_C_v1,hybrid_default,resource1,all,4,4,831.4085749989317,843.1334999986575,858.028649994958,0,8,0,0
service_C_v1,hybrid_default,resource1,contract_complete,4,4,831.4085749989317,843.1334999986575,858.028649994958,0,8,0,0
service_C_v1,hybrid_default,resource1,contract_failed,0,0,,,,0,0,0,0
service_C_v1,hybrid_default,resource2,all,4,4,1410.638649998873,1569.8560000018915,1638.8340299970878,0,8,0,0
service_C_v1,hybrid_default,resource2,contract_complete,4,4,1410.638649998873,1569.8560000018915,1638.8340299970878,0,8,0,0
service_C_v1,hybrid_default,resource2,contract_failed,0,0,,,,0,0,0,0
service_C_v1,hybrid_default,resource4,all,4,4,2021.9151499986765,2014.8472500004573,3091.3100849931648,0,8,0,0
service_C_v1,hybrid_default,resource4,contract_complete,4,4,2021.9151499986765,2014.8472500004573,3091.3100849931648,0,8,0,0
service_C_v1,hybrid_default,resource4,contract_failed,0,0,,,,0,0,0,0
service_C_v1,hybrid_default,warmup,all,5,5,1694.2886800010456,864.8248999961652,4212.013240001396,0,10,0,0
service_C_v1,hybrid_default,warmup,contract_complete,5,5,1694.2886800010456,864.8248999961652,4212.013240001396,0,10,0,0
service_C_v1,hybrid_default,warmup,contract_failed,0,0,,,,0,0,0,0
service_C_v1,safe_dense_raw20_bge,main,all,120,90,910.5765624998943,930.7971999951405,1073.8011749956056,0,207,0,0
service_C_v1,safe_dense_raw20_bge,main,contract_complete,90,90,983.5110466670207,939.1967500050669,1302.6976500026637,0,156,0,0
service_C_v1,safe_dense_raw20_bge,main,contract_failed,30,0,691.7731099985152,910.1739999969141,1061.7624249884102,0,51,0,0
service_C_v1,safe_dense_raw20_bge,resource1,all,4,4,847.2670500013919,846.1764000021503,857.1948500044527,0,8,0,0
service_C_v1,safe_dense_raw20_bge,resource1,contract_complete,4,4,847.2670500013919,846.1764000021503,857.1948500044527,0,8,0,0
service_C_v1,safe_dense_raw20_bge,resource1,contract_failed,0,0,,,,0,0,0,0
service_C_v1,safe_dense_raw20_bge,resource2,all,4,4,1389.170850001392,1544.2231499982881,1616.4273599992157,0,8,0,0
service_C_v1,safe_dense_raw20_bge,resource2,contract_complete,4,4,1389.170850001392,1544.2231499982881,1616.4273599992157,0,8,0,0
service_C_v1,safe_dense_raw20_bge,resource2,contract_failed,0,0,,,,0,0,0,0
service_C_v1,safe_dense_raw20_bge,resource4,all,4,4,2073.834375001752,2082.5968500066665,3075.5711850018997,0,8,0,0
service_C_v1,safe_dense_raw20_bge,resource4,contract_complete,4,4,2073.834375001752,2082.5968500066665,3075.5711850018997,0,8,0,0
service_C_v1,safe_dense_raw20_bge,resource4,contract_failed,0,0,,,,0,0,0,0
service_C_v1,safe_dense_raw20_bge,warmup,all,5,5,2965.576839997084,898.3828999917023,9218.014059992855,0,10,0,0
service_C_v1,safe_dense_raw20_bge,warmup,contract_complete,5,5,2965.576839997084,898.3828999917023,9218.014059992855,0,10,0,0
service_C_v1,safe_dense_raw20_bge,warmup,contract_failed,0,0,,,,0,0,0,0
service_C_v1,safe_dense_raw50_bge,main,all,120,87,911.3504391665629,942.6389000000199,1062.3301850071584,0,207,0,0
service_C_v1,safe_dense_raw50_bge,main,contract_complete,87,87,986.5569425283479,952.8837999969255,1071.3948800083017,0,150,0,0
service_C_v1,safe_dense_raw50_bge,main,contract_failed,33,0,713.0787484854933,915.5803999892669,1029.8820000025444,0,57,0,0
service_C_v1,safe_dense_raw50_bge,resource1,all,4,4,873.7704250015668,871.5741499981959,885.1832149994152,0,8,0,0
service_C_v1,safe_dense_raw50_bge,resource1,contract_complete,4,4,873.7704250015668,871.5741499981959,885.1832149994152,0,8,0,0
service_C_v1,safe_dense_raw50_bge,resource1,contract_failed,0,0,,,,0,0,0,0
service_C_v1,safe_dense_raw50_bge,resource2,all,4,4,1412.1561250030936,1565.4959500025143,1645.0691150028433,0,8,0,0
service_C_v1,safe_dense_raw50_bge,resource2,contract_complete,4,4,1412.1561250030936,1565.4959500025143,1645.0691150028433,0,8,0,0
service_C_v1,safe_dense_raw50_bge,resource2,contract_failed,0,0,,,,0,0,0,0
service_C_v1,safe_dense_raw50_bge,resource4,all,4,4,2128.231999995478,2136.624499995378,3191.3631449970126,0,8,0,0
service_C_v1,safe_dense_raw50_bge,resource4,contract_complete,4,4,2128.231999995478,2136.624499995378,3191.3631449970126,0,8,0,0
service_C_v1,safe_dense_raw50_bge,resource4,contract_failed,0,0,,,,0,0,0,0
service_C_v1,safe_dense_raw50_bge,warmup,all,5,5,2625.4415399977006,854.2541999922832,7934.912420003091,0,10,0,0
service_C_v1,safe_dense_raw50_bge,warmup,contract_complete,5,5,2625.4415399977006,854.2541999922832,7934.912420003091,0,10,0,0
service_C_v1,safe_dense_raw50_bge,warmup,contract_failed,0,0,,,,0,0,0,0
